news	explanation	label
疫情之下多国海外华商关门歇业？	大量微信公众号发布文章，以华人口吻讲述“国外疫情下的困境”，“华商太难了”文章广泛流传。这些微信公众号批量发布雷同的标题和文章，以华人口吻讲述“国外疫情下的困境”。但这些文章情节如出一辙，仅换了主角姓名、从事生意和所在国家。3月18日，微信方面就前述事件回复澎湃新闻称，此类文章涉及夸大误导，违反《微信公众平台运营规范》4.11条。微信方面已删除相关文章近100篇，封禁3个主体下的50个违规公众帐号。对于昵称涉及不正确使用国家名、地名的70个帐号，也统一清除昵称处理。	假
中国男足回国被拒滞留迪拜？	中国国家男子足球队有25名球员在迪拜JA Sports Center 参与合练，因北京拒绝落地而滞留迪拜。中国足球队通过官微发布消息称，近期体育部门统筹安排海外训练参赛运动队回国，一直得到了北京及其他有关地方的大力支持、协调配合。国家男子足球队近日将与其他队伍一起回国，目前情况一切正常。	假
广州“女毒王”坐遍14条地铁？	一张“广州女毒王境外返回确诊，坐遍14条地铁”的图片在网上热传，引发大V转发和网友围观，一度登上微博热搜。“广州女毒王”所指向的是于3月17日确诊的刘某，她3月5-9日前往泰国旅行，3月13-15日，从广州乘高铁前往广西南宁出差，3月16日，新冠病毒核酸检测阳性，从国外返程到确诊有4天时间，她曾到广西出差和中山大学第一附属医院东院看病，若以地铁出行，只需坐7号线、4号线和5号线，并不是热传的“14条线”。此外，与她密切接触的9人也已隔离观察。网传图片中的女子是名旅游博主@缅茨沐 ，并非感染者本人。当晚，该博主发出2016年在普吉岛游玩原图，并表示网传图片涉嫌盗图，侵犯了她的肖像权和名誉权。相关微博和抖音大号目前均已删除相关内容。	假
中国男足国家队队员武磊确诊感染新冠肺炎？	效力于西甲西班牙人的中国球员武磊确诊感染新冠病毒。中国足球协会官网发布公告，中国足协已从西班牙人足球俱乐部获知，效力于该俱乐部的中国男足国家队队员武磊确诊感染新冠肺炎。目前武磊症状轻微，正接受治疗。3月21日凌晨，西班牙《每日体育报》发文表示，科贝电台记者，西班牙人跟队记者托马斯·古斯彻从西班牙人俱乐部内部两位知情人士那里都核实了武磊确诊感染新冠肺炎一事。古斯彻表示，“在经过队医诊断之后，认为包括武磊在内的六名俱乐部感染患者病情不重，无须前往医院。他们都在家隔离，完全康复之后还需隔离14天。”	真
斯坦福大学：能憋气10秒就没感染冠状病毒？	有一篇冠状病毒“简单的自我检测”帖子在Twitter、Facebook上传播，称斯坦福医院发布消息，人们只需屏住呼吸10秒钟以上，就能检测出自己是否感染冠状病毒。如果能屏住呼吸而不咳嗽的，就没有感染病毒，除此之外还有很多简单“自测”新冠病毒的方法。斯坦福大学卫生保健发言人丽莎·金在接受采访时称，这篇“危险”的帖子与斯坦福大学医院无关，而且“包含不准确信息”。虽然冠状病毒是所有人都应该认真对待的问题，但虚假信息的传播可能是危险的、致命的。有任何身体症状上的疑问都应咨询专业人士或卫生机构。	假
美国启动战时机制，出动10艘医疗军舰抗疫？	美国的10艘医疗军舰已经开进纽约港，每艘船上有1000张病床，上面拥有所有的医疗抢救设施，每艘船相当于一个雷神山医院。所有美媒公开报道及美国海军司令部的网站登载的美国海军舰队现役的医院船，有且只有两艘，分别是“仁慈号”（USNS Mercy T-AH-19）和“舒适号”（USNS Mercy T-AH-20），10艘医疗军舰纯属子虚乌有。据美国海军研究协会网站（USNI）3月18日报道，美国民间一直呼吁美军出动这两艘医院船或者建造野战医院，帮助各地医疗部门救治新冠疫情患者。美国国防部长埃斯珀3月17日表示，这些野战设施和医院船是为了治疗战地创伤设计的，缺少（治疗新冠肺炎的）专业医护人员，也没有处理传染病的隔离设计，无法应对传染病。不过，军方可以利用野战医院、医院船等设施接治非新冠肺炎患者，缓解美国当地医院的医疗压力。	假
美德合作研发新冠疫苗拒供中国？	某自媒体发文称美国辉瑞公司和德国BioNTech两家公司已经签署了向除中国之外的所有国家提供疫苗的意向协议。称美国辉瑞制药公司和德国生物科技公司就新冠病毒肺炎医疗联合封杀中国。事实是，中国的上海复星医药（集团）股份有限公司早在3月15日就对外宣布其控股子公司上海复星医药产业发展有限公司获德国BioNTech SE（以下简称"BioNTech"）许可在中国独家开发和商业化基于其专有的mRNA技术平台研发的针对COVID-19的疫苗产品。辉瑞也在官网发布声明称，在此之前，BioNTech已宣布与复星医药合作开发中国市场。因此，辉瑞与BioNTech的协议不包括中国市场。也就是说，复星医药已提前“入局”。	假
张铁林在英国确诊新冠肺炎？	张铁林在英国确诊的新冠肺炎，因为国外目前的医疗环境和状况，张铁林决定回国治疗。张铁林经纪人唐皓通过微博回应称，张铁林老师从春节前夕至今从未离京，且身体康健。	假
中国派84艘巨轮直扑海湾买石油？	网传文章称，由于沙特和俄罗斯展开激烈的石油价格战，导致全球原油价格暴跌，中国立刻派出84艘超大型原油运输船（VLCC）开往海湾地区“抢货”。首先，网传文中称，中国是目前VLCC最多的国家，拥有84艘。而根据公开资料显示，中国目前VLCC数量大概是：招商轮船51艘（自有船），中远海能52艘（自有及长期租入），香港华光海运6艘，岚桥集团6艘，中石油4艘（合资船），共119艘。两个数据明显具有较大差距。其次，网传文章说“据中国海事融媒体最新视频信息显示，全国各港口VLCC集体拔锚……”，而搜遍全网，目前中国并没有一家叫做“中国海事融媒体”的机构。而一艘载重吨在30万吨级的VLCC长度可超过300米，宽度可达60米。要拍到84个这样的庞然大物“集体拔锚”，估计只能用卫星了，所以这种“视频信息”是不存在的。最后，原油这种大宗散装商品的贸易，以长约合同居多，短期现货合同较少。即使要临时购买现货，从商谈购货量，到签订买卖协议，再到签署船舶运输协议，整个过程复杂而漫长，并非在几天内就可完成。毕竟，不论原油还是VLCC，都是大额标的，不是我们去超市抢购物资那么简单。	假
武汉殡仪馆招工抬尸体日薪4000元？	网传一则招聘启事，声称是武汉的殡仪馆招义工，初步估计2-3个月，最低做15天，工资日结，4000元/晚/6小时。网传消息中的，何先生告诉记者，他人在武汉工作，做工程机械的。“因为疫情的事，要建一些临时建筑，我有挖掘机，需要招挖掘机司机，于是就是朋友圈、微信发了招聘启事。”但是手机号泄露了，被有人造谣编排成了“招抬尸工”的信息，让他不堪其扰，深受折磨。目前何先生已经在孝感、武汉都分别报警。	假
NBA球员欧文等人确诊感染新冠病毒？	3月19日，有媒体称NBA球星欧文等3人病毒检测呈阳性。篮网队发出公告：有媒体报道欧文、勒维尔、丁威迪确证新冠病毒，此消息不实。我们一起抗击疫情，一定会携手度过难关。我们也会继续为大家同步阿里巴巴董事局执行副主席、布鲁克林篮网老板蔡崇信先生以蔡崇信公益基金会和篮网联合名义，为国内抗击疫情捐赠的2500万人民币落实情况。我们一起加油！此前，篮网队曾宣布，球队有4人确诊感染新冠病毒，除了已经自己证实新冠病毒检测结果呈阳性的篮网球星凯文-杜兰特，其他三人身份并未公布。	假
东京奥运若取消不退门票？	日媒《朝日新闻》发布消息称，如果因新冠肺炎疫情导致东京奥运会取消，这属于规章中“涉及公共卫生的紧急事态”，门票不予退款。东京奥运会组委会在3月18日当天，就观战门票无法退还这一事件公开发表言论称，“规则上没有‘不退门票’这一记载，部分媒体的报道与事实不符。”东京奥组委一再强调，“门票不可退”是规章上没有记载的事，而关于届时退票行动能否真正落实，东京奥组委认为，以目前的形势无法判断。	假
首都国际机场国际航班将分流周边机场？	网传消息称首都机场入境国际航班将分流至周边机场，旅客测新冠确认健康才允许转飞。3月18日，天津滨海国际机场客服人员证实此事，并表示暂未接收此类航班，且航班会提前通知旅客。3月18日下午，太原武宿机场工作人员也证实此事，并表示具体由防疫中心负责，人员已就位。	真
《老人报》八年前预测新冠病毒会输入爆发？	2012年10月3日，《老人报》刊发了的《中国不排除新型冠状病毒输入可能》一文，预测了“新型冠状病毒输入事件”。《老人报》发布的文章所指的“新型冠状病毒”指的是，2012年9月在中东、欧洲出现的“中东呼吸综合征”(Middle EastRespiratory Syndrome，MERS)，并非现在肆虐的COVID-19。这两种疾病都是由冠状病毒引起，所以报道中在被官方命名之前都会使用“新型冠状病毒”的说法，但是冠状病毒家族有很多成员。	假
石正丽警告不必太乐观，蚊虫或成第三宿主？	网传一篇中国科学院武汉病毒研究所发表的文章，题为《石正丽凌晨发出警告：对疫情不必抱有太大乐观，蚊虫或成第三宿主》。中国科学院武汉病毒研究所发表声明称，流传的文章为不实信息，该谣言可能造成恶劣的社会影响。经查证，武汉病毒研究所郑重声明如下：石正丽研究员从未发布过任何相关信息，石正丽本人及该所保留追究造谣者法律责任的权利。	假
英国留学生就医，被拒在家自我隔离期间死亡？	英国高校内有中国留学生疑似感染新冠肺炎，拨打NHS111热线得不到回应，或要求就医被拒，导致在家自我隔离期间死亡。中华人民共和国驻英国大使馆发表消息称，驻英国使馆对此高度重视，立即通过有关渠道调查核实，现确认，使馆未收到英国官方关于此类案件的通报，相关各校校方和中国学联也均予否认。事实证明，有关消息皆为谣言。	假
未来一周有11万人从欧洲各地到北京？	北京海关向国内航空公司汇总欧洲至北京航班机票预订情况，中午统计结果出来了，未来一周有11万人从欧洲各地到北京。北京海关通过官微发布声明称，经核实，我关未开展过此项调查，该消息为虚假信息。请广大网民理性对待网络信息，不信谣，不传谣。感谢大家对北京海关工作的关注。	假
新冠肺炎患者肺功能不可恢复？	新冠肺炎患者肺部被病毒啃噬，肺功能不可恢复？首先，医学术语中没有“啃噬”这种说法。其次，任何一种疾病的预后跟疾病的分型、并发症、基础疾病相关。一般来说新冠肺炎轻症、普通型患者经过治疗后可痊愈，不留任何后遗症，但重症患者，如果出现了严重并发症，肺功能肯定是难以恢复到正常状态。因此新冠肺炎肺功能是否可以恢复，是要看病情的严重程度来判断。	假
特朗普演讲时晕倒，疑似感染新冠肺炎？	网传视频指出，特朗普在演讲中晕倒，被保镖架走，现场一片混乱。网传视频是美国当地时间2016年11月5日，特朗普在一次竞选集会中发表演讲时，被安保人员提示有危险，被护送到后台。有一名男子被带走，之后特朗普返回讲台完成了演讲。	假
日本新冠肺炎疫情致卫生纸短缺？	日本社交网络疯传新型冠状病毒肺炎疫情导致卫生纸短缺，这一传闻引发消费者大量囤积厕纸。会员包括39家日本纸业制造商的“日本家庭纸制品工业协会”（Nihon Kateishi Kogyokai）表示，社交媒体上流传的“口罩和厕纸都是由相同原材料制造而成，因此口罩产量增加将导致卫生纸短缺”是谣言。日本常用的卫生纸是由于国产纸浆和其他原材料制造而成，此外有一些产品从北美进口，卫生纸与制造口罩的用纸完全不一样。许多卫生纸和纸巾制造商均表示目前库存过剩。一位协会代表称：“没有任何一家会员公司的纸制品卖光。即使货架上商品暂时缺货，也将很快得到补充。”	假
美国航母爆发新冠病毒被困地中海，请求叙利亚帮助？	美国《NavyTimes》网站3月13日报道，正在地中海战备的“艾森豪威尔”航母上一名水兵被确诊感染了新冠病毒。目前整个“艾森豪威尔”航母舰队的所有舰艇全部被海军高层命令停留在地中海，美国因此向叙利亚求助。《NavyTimes》最近一次有关艾森豪威尔号航母的报道，是一名水手在维拉湾号导弹驱逐舰（隶属于艾森豪威尔号航母战斗群）因为事故丧生，并没有航母战斗群上有水兵感染病毒的报道。	假
C罗买岛自我隔离，等待疫情过去？	有媒体报道称，尤文球星C罗买下了一座小岛，并同家人在小岛上居住，直到新冠病毒消失。实际这座位于希腊的海岛，是C罗在2015年购买，当时这座岛的价钱为1200万欧元，买下之后C罗将这座岛送给了自己的经纪人门德斯。现在C罗确实也在海岛居家隔离，但这座海岛不是C罗买的那座希腊海岛。目前C罗全家隔离的海岛为他的出生地马德拉岛。	假
在美工作华人因疫情回国治疗要求助？	网传一个在美国工作十年的中国人，因为美国疫情严重回国治疗，因为不能免费想求助。流传内容中，主人公称自己持有美国绿卡，即只是拿到了美国永久居留权，国籍还是中国。也就是拿中国护照，是中国国籍。最下面又无法向院方自证自己是中国籍，“说我们是美国籍”的表述自相矛盾。“买不到退烧药，要从国内带”的表述，也是毫无国外生活经验。美国抗生素类处方药严格管制，但镇痛退烧类非处方药是超市药店开放购买，所以主人公完全不是一个在美国工作十年的人。上述传闻，就是个编造的故事。发布这个内容的账号目前已经改名，且清空了全部内容，并发文公开道歉，称自己是根据近期的新闻编造的段子。	假
英国故意让数千万人感染以获得“群体免疫”？	英国官方承认有意让大多数英国人感染新冠肺炎，以此获得群体免疫。北京时间3月13日凌晨，英国首相鲍里斯在与众大臣的疫情分析会议后承认：英国疫情第一阶段“遏制阶段”，已经失败。同时，英国首席医疗官Chris Whitty表示，从现在开始，他们不会再去检测每一个有症状的人，也不会再去寻找和确诊全国上下每一个新冠患者。 检测重点将放在重症患者，或者需要在医院进行治疗的患者身上。这些患者，需要先进行确诊，再决定是否要对他们进行隔离，从而消除其他传染的可能。英国首席科学官Patrick Vallance在当天早上的电视专访中表示，我们现在的做法，是一定程度的抑制这个疫情，延缓爆发，但不打算从根本上消灭这个病毒，反正现在我们也没办法全部消灭。同时，让英国大部分的人，逐渐感染，患上轻症。这样，大家一起产生对这个病毒开始有免疫力，提升全英国的“群体免疫力”。而对于要有多少人感染，才能达到群体免疫的效果的问题，首席科学官表示，大概要有60%人感染。首席科学官说科学小组认为这个病毒将来每年都会出现，变成一个季节性病毒。到最后，整个社会最终都会产生对这个病毒的免疫力。这是从长期看控制这个疫情的方法。	真
巴西总统博索纳罗确诊感染新冠病毒？	外媒消息称，巴西总统博索纳罗新冠病毒检测呈阳性。3月7日晚，博索纳罗还与美国总统特朗普在海湖庄园共进晚餐。据路透社3月13日报道，巴西总统博索纳罗的社交媒体Facebook页面显示，他的新型冠状病毒检测结果呈阴性。此前英国《镜报》援引巴西媒体消息称，博索纳罗检测呈阳性，但消息尚未得到巴西官方证实。	假
瞒报行程的郭某鹏密切接触者近4万人？	部分自媒体出现一组数据，称郭某鹏密切接触达39373人，并由此延伸开来，进行解读。郑州市疾病预防控制中心3月11日关于郭某鹏正式通报显示，截至3月11日12时，经流调初步判定密切接触者24人，均已采取集中隔离医学观察措施。而自媒体口中的“密切接触达39373人”，则是来自河南省卫健委3月12日上午通报消息，“目前累计追踪到密切接触者39373人，3月11日已解除观察20人，共有199人正在接受医学观察。”自媒体将原通报中全省累计追踪到的39373人密切接触者，通过消除分段、将句号改变成逗号的方式，就“移花接木”变成了新增报告1例境外输入确诊病例的密切接触者，这种误读实在谬之千里。	假
希腊暂停2020东京奥运火炬传递活动？	因担心疫情影响，希腊奥委会宣布将暂停2020年东京奥运圣火在该国境内的传递。北京时间3月13日晚，希腊奥委会宣布将暂停2020年东京奥运圣火在该国境内的传递，以保护公众免受新冠肺炎疫情感染。	真
华人阳台晒鸡翅被看成晒蝙蝠？	一位华人在阳台上晒鸡翅，被当地居民误认为是蝙蝠而引发恐慌。警方封锁现场出动无人机，市长都来围观。意大利当地时间3月11日，意大利特拉尼市，有市民发现中心一幢建筑二楼阳台的架子上，挂满了类似蝙蝠的生物，于是报警。警方和当地卫生部门迅速出动，封锁了该区域，并对相关地区进行消毒处理，警告市民不要在附近围观。随后，特拉尼市长也亲自赶到现场指挥。由于该住户当时不在家中，警方出动无人机勘查确认，发现"似乎有血液从这些'不明生物'上滴下来"。最终，这户华人居民回到家中，警方得以进入。经过检查最终发现，"不明生物"其实是酱油鸡翅。卫生部门要求该住户对阳台和公寓进行清理。实际上，由于文化差异，意大利人不满华人在阳台晒制腊类食品的事件时有发生。	真
意大利全国封闭动用坦克？	意大利福贾市民拍摄到大量装甲车穿街而过，并有目击者拍摄到巴勒莫出现装甲车群。有人认为这或是因为意大利总理孔特宣布10日开始全国封城。意大利媒体消息称，装甲车与疫情无关，是演习后从撒丁岛运来，恰好路过碰上而已。	假
新冠病毒会攻击肾脏和睾丸，影响性功能？	感染新冠病毒后有7%的患者可能出现急性肾功能衰竭，因此病毒会攻击肾脏和睾丸。1.南京医科大学附属苏州医院某研究团队发现病毒更容易攻击ACE2蛋白表达比较丰富的组织，而这些组织包括肾脏和睾丸的某些上皮细胞，其表达的浓度甚至超过肺脏，因此病毒有攻击肾脏和睾丸的可能性。2.真正能够验证病毒是否能攻击器官的证据是人体解剖和病理检查，必须证实这些器官当中有病毒颗粒，并对细胞产生了损害才能说明病毒可以影响肾脏和睾丸的这个结论，器官蛋白的表达并不能确定可以感染，而且全身能够表达这个蛋白的组织和器官很多，且肺组织并非表达最高的器官，但大部分感染者的症状集中在肺脏，因此，并不能从论文得出肯定的结论，作者的原标题也只是表达了有攻击这两个器官的可能性，提醒临床医生注意。3.湖北省政府网站3月12日中午也发布了这篇文章，并用标题《感染新冠肺炎的适龄男性应进行生育力检查》，当天又将该文章下线。消息	待论证
NBA因新冠病毒暂停2019~2020赛季比赛？	NBA因新冠病毒暂停比赛，北京时间3月12日在雷霆和爵士的比赛因戈贝尔和穆迪埃出现病症推迟。综合美国广播公司财经频道（CNBC）和ESPN报道，在爵士队球员鲁迪·戈贝尔新冠肺炎检测呈阳性后，NBA宣布暂停比赛。NBA 3月11日晚通过官网发布声明说道，球员（鲁迪·戈贝尔）的检测结果是在当天晚上进行的爵士和雷霆的比赛前公布的，这场比赛随即被取消，被检测的球员当时不在现场。声明表示，NBA之后的比赛也将暂停，恢复时间另行通知。NBA也将利用这段时间确定针对新冠肺炎疫情要采取的下一步措施。消息	真
汤姆·汉克斯确诊新冠肺炎？	汤姆·汉克斯夫妇确诊新冠肺炎。美国演员汤姆·汉克斯通过其社交网站账号发表声明称，他与妻子丽塔在澳大利亚进行了新冠肺炎检测，结果是阳性。他表示，将按照公众健康和安全的需求进行观察和隔离。汤姆·汉克斯推特页面汉克斯回忆：“我们感到感冒般的疲惫、身体疼痛”，63岁的夫妻俩做了检测，确诊新冠阳性。他称会一步一步来，遵从指示隔离，确保公众安全，继续更新情况，并提醒大家注意身体。汤姆·汉克斯是首个公布新冠确诊的美国名人，也是全球最著名、成就最杰出的男演员之一，其主演的《阿甘正传》具有广泛知名度。消息	真
阿奇霉素可预防新冠肺炎？	阿奇霉素可用于治疗肺炎，同样可用于预防新冠肺炎。阿奇霉素是抗菌药，对病毒感染无效。新冠肺炎患者使用阿奇霉素是对症治疗，并不直接针对新冠病毒。阿奇霉素并没有预防新冠病毒感染的作用。使用阿奇霉素预防新冠肺炎属于滥用抗生素，可导致抗生素耐药，还可能加重病情。消息	假
中国捐给日本的试剂盒被美国拿走了？	此前中国捐助日本的检测试剂盒中有2000多个被驻日美军错运到美国本土。右翼共和党议员卢比奥还公开称，这批检测试剂盒很可能已经用完了，日本讨论归还意义不大。上述消息及截图都出自一个自媒体账号的文章《美强行拦截中方试剂盒，被捐助国勃然大怒，美鹰派大佬：已经用完 》。但在外文媒体包括其他自媒体“署名”援引的“俄罗斯卫星通讯社”上均无法溯源查询到相关消息，近期卢比奥也没有类似发言。	假
上海3月16日起居民出行正常化？	微信群里和微博上，热传一张“3月16日居民出行正常化”的通知图。图上称，这是“今天上午市政府会议精神”，下方列出了详细的“正常”时间表，如“3月16日居民出行正常化”“3月18日逐步企业生产和市场经营正常化”“3月25日机场、高速、动车、国道正常化”“4月6日大众学开学”“4月20日起，剧院、电影院营业”“4月20日小、幼儿园开学”……网传帖子早在3月初开始就在湖北武汉、江苏无锡、浙江温州等地流传；只是当时的版本并未提及4月学校开学、电影院营业的时间表。该帖子已被多地相关部门进行辟谣。有关部门还提醒，政府部门不会以网民转发的形式发布任何通告内容，请勿轻信。上海各大媒体都没有发布过有关“3月16日起居民出行全面正常化”的报道。	假
北京大中小学3月初开学？	有网民发布消息称北京大中小学将于3月初开学。北京市教委明确表示，这是一条虚假信息。北京市教委强调，目前，防控疫情是首要任务，开学时间要视疫情发展来定。请广大网友从官方权威渠道获取信息，不传谣、不信谣。	假
意大利驻华大使馆通过社交媒体采购防疫物资？	近几日来流传着一份医疗物资采购清单，清单发布者声称意大利大使馆正在为意大利采购防疫物资。意大利驻中国大使馆发布声明称，这是一起可能涉及网络钓鱼的假冒事件，意大利驻中华人民共和国大使馆未曾通过社交媒体渠道公开为意大利寻求过医疗卫生援助。因此，请谨慎对待以本使馆名义采购防疫物资的行为，并恳请有此类联络需求的公司及时将相关信息发送至官方邮箱。	假
3月16日北京居民出行正常化？24日复工？	北京市政府会议精神，3月16日居民出行正常化，17日公交正常化，北京本月24日开始，结束全市一级响应及轮班居家办公模式，有序全面复工。北京日报客户端记者从北京疫情防控领导小组办公室核实获悉，以上两条网传内容均不属实。	假
宁夏包机从伊朗接回12名新冠肺炎患者？	宁夏包机从伊朗接回的200名宁夏籍人员一下飞机便直接被送到第四人民医院隔离，其中已确诊的有12例，而且被治愈的病患又个别出现返病的症状。根据环球时报的报道，3月2日至3月5日，共有311人先后乘南方航空公司的中国包机由伊朗到达兰州，并在兰州当地进行了隔离，并没有中国包机飞到宁夏，也没有从伊朗回来的中国公民被送到宁夏。3月7日晚10时，银川市公安局金凤区分局长城中路派出所民警，依法将涉嫌散布上述谣言的段某查获，并口头传唤至派出所调查。违法行为人段某，对其散布谣言的违法事实供认不讳。消息	假
输注恢复病人血浆会感染乙肝、梅毒或者其他病毒	输注恢复期病人血浆会感染乙肝、梅毒或者其他病毒。首先，献血浆者筛选要求严格，须同时符合以下所有条件：距首发症状时间不少于3周；符合最新版新冠肺炎诊疗方案中解除隔离和出院标准；年龄应当满18岁，原则上不超过55岁；男性体重不低于50公斤，女性体重不低于45公斤；无经血液传播病史；经临床医师综合患者治疗等有关情况评估可以捐献血浆。其次，在献血浆前会采集献血浆者的血液标本做检测。检测项目包括血型检测：ABO血型(正定型)；血红蛋白(Hb)测定（要求男≥120g/L，女≥115g/L。如采用硫酸铜法：男≥1.0520，女≥1.0510。）再次，由血浆采集机构或委托具备能力的实验室检测机构开展 血浆的实验室检测，遵照《血站技术操作规程2019版》相关要求，包括乙型肝炎病毒标志物、丙型肝炎病毒标志物和艾滋病病毒标志物的血清学检测及核酸检测，梅毒抗体的2遍血清学检测和丙氨酸氨基转移酶(ALT)检测。检测结果无反应性，判定为合格。最后，需要进行特殊检测：新冠病毒核酸单人份检测(呈阴性)。总的来说，经过层层把控，输注恢复期病人血浆不会感染乙肝、梅毒或者其他病毒。消息	假
英冠球队诺丁汉森林老板确认感染新冠病毒？	英冠诺丁汉森林老板马利基纳斯感染新冠病毒。3月10日晚8点，英冠球队英格兰诺丁汉森林的希腊老板马里纳基斯在Instagram平台发表声明确认，自己感染了新冠病毒。马里纳基斯写道，“最近的病毒已经‘拜访'了我，我觉得有义务让公众知晓这件事。现在我的感觉还好，因为我采取了一切必要的措施，我遵循了医生的嘱咐。我强烈地建议我的同胞们也这么做，希望我可以尽快好起来。”消息	真
唐山大地震幸存者在欣佳宾馆遇难，没躲过“追杀”？	吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害….在唐山大地震中幸运地活了下来…2月23日病愈出院…入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁。泉州市公安局网络安全保卫支队通过官微发布消息称，经核实，该段内容为不实信息。目前，关于泉州欣佳酒店的搜救行动仍在争分夺秒进行，请广大网民在关注事件进展的同时，尊重生命，不要编造、散布不实信息，	假
一家四口住华南海鲜市场43天未感染？	有一家四口住在华南海鲜市场43天，没有防护服，检测发现竟然未被感染。3月3日，工作人员在华南海鲜市场清理消毒时，发现里边还住着一家四口。这一家四口为一对夫妻带着孩子和老人，住华南海鲜市场43天，也没有防护服，检测发现竟然未被感染。一家四口被发现后已送酒店隔离，目前仍在隔离观察。消息	真
新冠肺炎患者的母乳中会含有新冠病毒？	哺乳期女性感染新冠病毒后，乳汁里会含有新冠病毒，一旦确诊不要母乳喂养。北京大学第三医院产科主任、主任医师赵扬玉表示，目前现有资料来看，确诊的产妇当中的乳汁当中没有检测到新型冠状病毒的核酸，但是因为病例数太少，尚不能够完全确定。在母乳喂养的过程当中，可能还会经还会有接触性传染等风险。所以对于已经确诊新冠状肺炎的孕妇，目前不建议母乳喂养，还是建议采用人工喂养的方法。	待证实
3月16日起天津恢复限行？	天津从3月16号恢复尾号限行。天津交警官方微博3月10日发布消息称，天津交警有13个官方新媒体平台，唯独没有“朋友圈”这个平台，任何官方消息也不会在朋友圈发布，何时恢复尾号限行要视疫情防控情况和交通流量综合研判而定，关注官方信息即可，如果有限行恢复的消息，一定会第一时间通知的。	假
葡萄牙总统主动接受隔离？	葡萄牙总统德索萨因曾接见的学生所在学校出现新冠肺炎确诊病例，将主动接受两周隔离。葡萄牙总统德索萨3月3日在总统府贝伦宫接见了一所学校的学生并和他们合影留念。3月7日晚，该校一名学生被确诊新冠肺炎，该校随即关闭。这名确诊的学生和他所在班级都没有参加总统府的活动，德索萨身体也没有任何症状，但仍接受医疗机构建议，决定主动居家自我隔离两周，取消所有原定公务活动。消息	属实
山西师范大学临汾学院通知学生6月返校直接毕业？	山西师范大学临汾学院通知学生6月返校直接毕业。山西师范大学临汾学院发布辟谣声明称：上述网传消息不实，严重干扰了我院正常工作和疫情防控期间的教学秩序。目前，我院已就此次事件向公安机关报案。消息	假
驻英大使馆建议留学生回国躲避疫情？	驻英大使馆建议留学生回国躲避疫情，并开始进行撤侨登记。驻英国大使馆教育处回应，该网传消息为谣言：使馆从未作出上述建议。请大家不要盲信盲从，而应保持冷静理性，及时关注英国政府教育主管部门以及所在院校随疫情发展态势出台的相关政策和应对措施。使馆教育处和各校学联会根据需要随时为大家提供帮助。“出国及海外中国公民自愿登记”网站系由中国外交部领事司2013年开发并推出的在线应用系统，旨在为出国旅行的中国公民提供登记个人（团组）及旅行信息服务，以便及时为其推送各类安全提醒信息，在紧急情况发生时与其取得联系，必要时为其提供领事保护与协助。驻英国使馆并未因疫情提出登记要求。消息	假
法国政府人为低估感染人数？	法国政府故意以减少追踪排查疑似病例的方式人为淡化新冠肺炎疫情的严重性。法国排查病例数“较低”的原因，主要跟法国的检测流程有关。在法国，一名潜在的病毒携带者在正式接受检测之前要经历数个步骤。“疑似病例”需转给院前急救专家或传染病学家。有关专家接手后应向病人了解其症状，如果病人提供的资料符合法国公共卫生部门制定的诊断评估标准，就可被列为“高度疑似病例”。只有对“高度疑似病例”才能进行试剂检测，医生对“高度疑似病例”进行鼻拭子或咽拭子采样，采集到的病原体样本会被送入指定的45家医学实验室之一进行分析，通常三至五小时即可出结果。只有完成这一程序后，病人才能被正式列为“确诊病例”。正是基于这个原因，法国的排查检测数量才低于他国，但此举有助于更精确地定位潜在的病毒携带者。而且，法国卫生部门并不通报疑似病例的日检测数，只是向外界确认该国防疫系统每日检测能力可以达到1500例。消息	假
中国驻韩国大使馆三月暂停签发中国护照？	3月份中国驻韩国大使馆暂停办理护照签发业务。中国驻韩国使馆澄清，为确保在韩中国公民的正常工作生活，中国驻韩国大使馆在全力防范疫情的同时，正常办理护照/旅行证。但鉴于目前每天到使馆办证大厅人员数量仍在500以上，为尽可能减少人员聚集，使馆鼓励申请人根据自身情况及办证紧迫程度合理安排办证计划，适当提前或推迟办理。	假
德国拦截瑞士口罩？	德国海关当局目前在德瑞边境扣留了一辆属于瑞士公司的货车，车上装有240000个防护口罩。德国3月4日开始禁止部分医疗物资出口，包括口罩。此前，瑞士委托德国的一家公司，从远东（没有明确说是否是中国）进口了一批口罩，作为中间商，瑞士再找德国企业买。这样就相当于德国进口再出口，正好就受到了德国新规的管制。据《新苏黎世报周日版》( NZZ am Sonntag )3月7日报道，一辆属于瑞士公司的卡车在前往瑞士途中被德国海关拦截，车上有24万个防护口罩。上述事件发生后，瑞士立即向德国的有关部门进行了抗议。此外，秘书处3月6日还邀请德国驻瑞士大使就这个问题进行了讨论，敦促德国当局立即对被冻结的货物放行。	真
